Index,Customer Id,First Name,Last Name,Company,City,Country,Phone,Email,Subscription Date,Website,Notes
1,40e938d90c5a9fc,Ada,Easley,Wonka Labs,Sevilla,Spain,202-646-1155,ada.easley@acme.net,2022-01-30,https://www.easley-sirius.net/,
2,14d96cb14241a7a,Rasmus,Stroustrup,Sirius & Wonka,Paris,France,179-159-3434,rasmus.stroustrup@umbrella.org,2024-05-12,https://www.stroustrup-umbrella.biz/,
3,3b83c335a3c70e0,Radia,Johnson,"Piper, Northwind and Vandelay",Łódź,Poland,125-445-8880x708,radia.johnson@soylent.biz,2020-10-21,https://www.johnson-initech.net/,
4,5a46cd04a532f1c,Anders,Stroustrup,Massive Holdings,Wien,Austria,911-464-9475,anders.stroustrup@initech.biz,2019-05-29,https://www.stroustrup-gringotts.com/,
5,dedab3707264690,Anders,Lerdorf,Dynamic & Vandelay,Tallinn,Estonia,704-393-3801,anders.lerdorf@gringotts.com,2020-04-18,https://www.lerdorf-stark.org/,
6,2bb57999a75cb52,Margaret,Wall,Vandelay Works,Bratislava,Slovakia,386-228-7629x723,margaret.wall@gringotts.org,2022-06-18,https://www.wall-piper.org/,
7,fa7440ce66360ee,Ken,Gosling,Oceanic & Initech,Łódź,Poland,421-974-2660,ken.gosling@cyberdyne.biz,2022-09-25,https://www.gosling-umbrella.net/,
8,8c026a0c6c17f7d,Larry,Eich,Initech Partners,Kraków,Poland,323-405-8864,larry.eich@hooli.net,2020-02-07,https://www.eich-stark.net/,
9,19d22069808f7e1,Larry,Rossum,Cyberdyne Partners,Nairobi,Kenya,503-522-8294x575,larry.rossum@hooli.net,2023-01-19,https://www.rossum-vandelay.io/,
10,a0a5457fba27723,James,Stroustrup,Tyrell Systems,Nairobi,Kenya,933-224-8997,james.stroustrup@massive.com,2023-01-17,https://www.stroustrup-pied.net/,
11,2af1737f0618a88,Guido,Liskov,Pied Partners,Nairobi,Kenya,939-800-8154,guido.liskov@globex.org,2021-10-10,https://www.liskov-massive.net/,
12,0cc0be68d2663b3,Ida,Wall,Acme Labs,Kraków,Poland,297-187-3063x326,ida.wall@sirius.biz,2023-02-04,https://www.wall-piper.com/,
13,1a0b85ff183c124,Brendan,Matsumoto,"Vandelay, Inc.",København,Denmark,259-478-1487,brendan.matsumoto@sirius.org,2023-09-24,https://www.matsumoto-pied.biz/,
14,c120654cc972c60,Larry,Lovelace,Acme Systems,Porto,Portugal,572-857-3087,larry.lovelace@vandelay.io,2024-05-03,https://www.lovelace-umbrella.io/,
15,6b12cbb2eb7525f,Ida,Wall,Tyrell Works,Москва,Russia,342-914-3474x804,ida.wall@gringotts.net,2023-05-01,https://www.wall-wonka.org/,
16,a9a64b943c55286,Bjarne,Johnson,Wayne Labs,Wien,Austria,897-364-9080,bjarne.johnson@pied.com,2020-10-10,https://www.johnson-vandelay.biz/,
17,2488cdec8d0d803,Anders,Rhodes,Soylent Systems,Nairobi,Kenya,733-122-1791,anders.rhodes@hooli.biz,2020-12-12,https://www.rhodes-soylent.com/,"said ""call me"", then left"
18,d93d855c8a2c04a,Audrey,Matsumoto,"Hooli, Inc.",Montréal,Canada,729-305-5263x726,audrey.matsumoto@globex.biz,2021-10-14,https://www.matsumoto-tyrell.biz/,
19,087ac840ba017d7,Margaret,Eich,Soylent Systems,Wien,Austria,271-203-4207,margaret.eich@gringotts.com,2023-10-07,https://www.eich-hooli.biz/,
20,99023c704c830fa,Ida,Ritchie,"Pied, Inc.",Nairobi,Kenya,235-174-5643,ida.ritchie@globex.org,2021-11-18,https://www.ritchie-stark.org/,
21,75a4eb02ae6719d,Ida,Gosling,"Vandelay, Inc.",東京,Japan,623-273-5277x910,ida.gosling@oceanic.com,2023-09-24,https://www.gosling-dynamic.com/,
22,4e4affe79d72d62,Yukihiro,Torvalds,"Tyrell, Soylent and Massive",Москва,Russia,951-671-4447,yukihiro.torvalds@wayne.biz,2021-07-05,https://www.torvalds-dynamic.org/,
23,ec33b6fede56480,Larry,Eich,"Umbrella, Massive and Piper",Bratislava,Slovakia,546-468-9843,larry.eich@acme.com,2021-08-13,https://www.eich-oceanic.biz/,
24,cacd7424d4940f7,Barbara,Gosling,Massive Systems,Wien,Austria,176-500-4410x382,barbara.gosling@cyberdyne.net,2020-07-19,https://www.gosling-wonka.biz/,
25,53ec99ea1f4ff73,Guido,Liskov,Dynamic Partners,Paris,France,838-612-1669,guido.liskov@stark.com,2021-12-04,https://www.liskov-pied.net/,
26,95a92dd7104f6b8,Grace,Hamilton,Wayne Labs,Kraków,Poland,661-686-8847,grace.hamilton@acme.net,2023-08-17,https://www.hamilton-stark.com/,
27,4089db46bb6eb30,Brendan,Wall,"Sirius, Soylent and Northwind",Москва,Russia,830-725-6756x220,brendan.wall@dynamic.org,2023-09-16,https://www.wall-tyrell.net/,
28,da255b49468035b,Dennis,Lerdorf,"Vandelay, Inc.",Nairobi,Kenya,200-750-9798,dennis.lerdorf@dynamic.net,2023-12-02,https://www.lerdorf-pied.net/,
29,87e879a389988c0,Guido,Keller,Globex Holdings,東京,Japan,422-268-9977,guido.keller@massive.net,2020-08-15,https://www.keller-stark.org/,
30,7392efc0d503905,Annie,Liskov,Cyberdyne Group,Reykjavík,Iceland,126-578-9202x61,annie.liskov@soylent.org,2023-01-20,https://www.liskov-oceanic.com/,
31,65d95c36332eb86,Anders,Gosling,Initech Group,Zürich,Switzerland,726-465-7764,anders.gosling@vandelay.net,2021-10-18,https://www.gosling-globex.com/,
32,2276b4f4cb096de,Linus,Stroustrup,Wayne Systems,Reykjavík,Iceland,448-313-2301,linus.stroustrup@massive.io,2023-03-23,https://www.stroustrup-gringotts.io/,
33,e0010b5e47e3773,Guido,Allen,Gringotts Holdings,Reykjavík,Iceland,642-189-6921x133,guido.allen@acme.net,2023-02-09,https://www.allen-wayne.com/,
34,e23be84a606f710,Linus,Ritchie,Cyberdyne Works,Wien,Austria,632-757-2244,linus.ritchie@piper.org,2023-06-28,https://www.ritchie-stark.com/,
35,7d81c9dee151070,Linus,Liskov,"Wonka, Acme and Soylent",Kraków,Poland,360-120-4502,linus.liskov@acme.net,2021-05-13,https://www.liskov-piper.net/,
36,ccea953dadfc189,Audrey,Rossum,Oceanic Works,Nairobi,Kenya,158-399-3564x970,audrey.rossum@vandelay.net,2020-07-20,https://www.rossum-wayne.io/,
37,55748180a9ef069,Frances,Liskov,Soylent Labs,Wien,Austria,524-999-7383,frances.liskov@pied.org,2021-12-21,https://www.liskov-globex.biz/,
38,c68b41f198b0718,Barbara,Hopper,Stark Partners,Sevilla,Spain,898-671-7660,barbara.hopper@northwind.net,2024-02-22,https://www.hopper-cyberdyne.biz/,
39,9105600e18ee377,Brendan,Tang,"Tyrell, Oceanic and Acme",Genève,Switzerland,466-614-9707x574,brendan.tang@stark.net,2019-09-11,https://www.tang-oceanic.com/,
40,79f37c8af12f35a,Yukihiro,Tang,Tyrell & Soylent,Москва,Russia,615-640-3630,yukihiro.tang@initech.com,2024-03-16,https://www.tang-umbrella.org/,
41,a47cbd485a06681,Linus,Rossum,"Tyrell, Inc.",Paris,France,170-617-6040,linus.rossum@piper.org,2021-11-11,https://www.rossum-globex.org/,
42,05c48dd085f6faa,Radia,Wilson,Tyrell Holdings,Amsterdam,Netherlands,848-481-7544x903,radia.wilson@tyrell.com,2021-06-07,https://www.wilson-soylent.com/,
43,683eabb81632fa2,Radia,Keller,Oceanic Holdings,København,Denmark,126-560-8344,radia.keller@northwind.io,2019-10-10,https://www.keller-sirius.com/,
